127.0.0.1 - - [18/Feb/2025:14:12:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%9A%B8%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%96%91%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%81%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%98%A5%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%99%8D%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%95%A9%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%99%8D%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%8F%AC%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%95%B4%EB%82%A8_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%ED%95%A8%ED%8F%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [18/Feb/2025:14:14:05 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EC%97%B0%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
